Type,Step Size,Goal Bias,Spacing,Steepness,Path Length,Path Nodes,Smooth Length,Smooth Nodes,Total Nodes,Time Taken,Obstacles
Greedy,2,0.37,0,12,100.22750042771325,54,92.18019988731146,56,483,1.1943161487579346,19
Speedy,2,0.37,0.5,12,97.61885399804987,56,92.20539835830233,58,1311,5.379729509353638,19
Normal,2,0,0,12,110.20374761954909,61,101.1068757199679,63,1439,3.2908387184143066,19
Spaced,2,0,0.5,12,98.31305074031917,53,88.78624322328798,55,890,2.923962116241455,19
Greedy,2,0.37,0,12,97.06447532421019,56,89.2427806318805,58,1086,2.6687357425689697,19
Speedy,2,0.37,0.5,12,108.7315158840881,60,99.47953444785705,62,1475,5.710888147354126,19
Normal,2,0,0,12,95.17237318625791,52,85.7835152330021,54,1345,3.1074564456939697,19
Spaced,2,0,0.5,12,106.27739587983424,58,95.41894178821477,60,2491,9.230818033218384,19
Greedy,2,0.37,0,12,111.34770363433978,63,101.64584210382687,65,3184,10.853535413742065,19
Speedy,2,0.37,0.5,12,105.87043409644045,59,95.75885346957625,61,1572,6.598847150802612,19
Normal,2,0,0,12,102.0837119838684,63,90.68292179285875,65,3833,12.581240177154541,19
Spaced,2,0,0.5,12,101.79488853957582,57,91.91335975803163,59,2089,7.99035120010376,19
Greedy,2,0.37,0,12,113.805456874422,68,100.08729663377439,70,3795,14.221972227096558,19
Speedy,2,0.37,0.5,12,103.55515758583057,55,93.13380481370534,57,966,3.821883201599121,19
Normal,2,0,0,12,96.1006073474463,53,89.29762694262864,55,848,1.9390192031860352,19
Spaced,2,0,0.5,12,92.23373084937641,50,84.16181899375101,52,397,1.5119514465332031,19
Greedy,2,0.37,0,12,114.618566012201,71,103.26671615922953,73,2548,7.830749034881592,19
Speedy,2,0.37,0.5,12,106.86895816921515,61,98.86850892064501,63,1942,8.31618356704712,19
Normal,2,0,0,12,97.80313156632245,60,86.39055847534576,62,2570,6.832534313201904,19
Spaced,2,0,0.5,12,100.37151151812142,57,92.45147234274289,59,1585,5.634874105453491,19
Greedy,2,0.37,0,12,98.83856126676385,59,91.70236893924982,61,1159,2.816929340362549,19
Speedy,2,0.37,0.5,12,91.69711497127939,52,86.21007032863749,54,1588,6.054162979125977,19
Normal,2,0,0,12,93.88413804114707,51,85.26485708156447,53,2110,5.230977535247803,19
Spaced,2,0,0.5,12,102.31652614766479,58,92.48810149132012,60,649,2.3636105060577393,19
Greedy,2,0.37,0,12,101.8915346449721,59,95.05277824907053,61,2036,5.983538866043091,19
Speedy,2,0.37,0.5,12,114.53331091121278,71,103.92866839071537,73,2973,15.071167945861816,19
Normal,2,0,0,12,103.74817906794306,56,95.61762384495199,58,1202,2.6231935024261475,19
Spaced,2,0,0.5,12,108.65413734462726,58,98.31974190239595,60,945,3.278865337371826,19
Greedy,2,0.37,0,12,109.71438291412029,66,99.30835863432921,68,2848,9.135096073150635,19
Speedy,2,0.37,0.5,12,105.10176306632378,61,99.2525326785495,63,1395,5.374206066131592,19
Normal,2,0,0,12,94.99722632219569,56,86.06293904159374,58,4588,15.460103511810303,19
Spaced,2,0,0.5,12,102.58525796773438,57,93.41514560595213,59,2427,9.049222230911255,19
Greedy,2,0.37,0,12,99.03130068813961,57,88.66040638425993,59,2118,5.8572399616241455,19
Speedy,2,0.37,0.5,12,106.75815590298052,58,94.20120969317517,60,2288,9.999758958816528,19
Normal,2,0,0,12,91.14192893497564,49,83.6284710844673,51,999,2.331759452819824,19
Spaced,2,0,0.5,12,107.59637633768101,60,97.79715551534483,62,2694,10.823105096817017,19
Greedy,2,0.37,0,12,110.18198185751228,61,100.84040479669822,63,1239,3.0725419521331787,19
Speedy,2,0.37,0.5,12,96.59152169497462,57,89.15938746110815,59,1376,6.105291128158569,19
Normal,2,0,0,12,98.56513829038803,59,92.54478721300487,61,2581,6.907247543334961,19
Spaced,2,0,0.5,12,104.20476862004907,60,93.91921151052986,62,1924,7.097656726837158,19
Greedy,2,0.37,0,12,98.59835389148677,57,90.4662037898131,59,3140,10.599932432174683,19
